seller_id,product_category_name_english,avg_score,count_of_reviews
508808d438fe2ff972ed13bb8f4a82e2,health_beauty,5,1
b9a03475e6447e631b6799ec8274800f,art,5,1
ba8e85df286308fe68a2ce83a8f8b2d6,perfumery,5,1
7299e27ed73d2ad986de7f7c77d919fa,watches_gifts,5,1
e601b04acf48b4576e73ddca9481f0dc,office_furniture,5,1
0ea22c1cfbdc755f86b9b54b39c16043,musical_instruments,5,2
5d3bb11474a06bdc23fb9e89f1164ee0,home_appliances_2,5,3
d93b8458c6fe139d85cfa5eadbf55bd2,sports_leisure,5,1
46dc3b2cc0980fb8ec44634e21d2718e,stationery,5,2
527801b552d0077ffd170872eb49683b,musical_instruments,5,2
7ad41305e96a6cab8294cd65891e9a86,sports_leisure,5,2
3c3017960b2dbd72711a61f0400aab8f,housewares,5,1
522620dcb18a6b31cd7bdf73665113a9,auto,5,1
e06f09ec0a4aca210779cf1cfc63cf19,bed_bath_table,5,1
4ebdc7e6cd6102a022dadc49156d4ea8,bed_bath_table,5,1
41ab63a91b8b264e8c8780368bf1dd5b,telephony,5,1
377bc18334c78dd2f1535ef22a3ad225,garden_tools,5,1
0b46f784306be7200ca1700aa55d819f,auto,5,1
7f40d06aa0b5f1aa4f41af8c0480e2ef,toys,5,5
7fc87cc3e89b3d1d5cabdca32f8485aa,furniture_living_room,5,2
e58a5b390e28abc0b216cfb0e07d27d7,luggage_accessories,5,2
3cfa1358a6caa965278721344c8d76f2,construction_tools_construction,5,2
49f8d2ea7b718d0ce587d34207caf2b4,pet_shop,5,1
fa1c13f2614d7b5c4749cbc52fecda94,health_beauty,5,1
71593c7413973a1e160057b80d4958f6,furniture_decor,5,3
bd43e172d599bed47a85da877172ca8c,bed_bath_table,5,1
1cbd32d00d01bb8087a5eb088612fd9c,stationery,5,2
5dc203c7b84a0e71e878a179de05fb9a,garden_tools,5,3
9140ef75cc8211c4035935e80e567204,pet_shop,5,1
382229d1e840115ffe3dbf5ff460e417,baby,5,1
dd55f1bb788714a40e7954c3be6df745,construction_tools_lights,5,1
45c20d94d9171b0bcfab3c955e47d67b,toys,5,1
3d4824f20035949c710eaf111f869d39,toys,5,1
5f7300535881cef3b625fd683cf7d145,bed_bath_table,5,2
e5f9e61ceb5f523cc966e0f34095032f,cool_stuff,5,3
134a288e7de827ec5ec62e3ec9c3a295,electronics,5,1
31eec405c9bb71dec8e2629a92e764fa,electronics,5,1
dfa0c4c6229ab200a4a1336b4d7128ff,sports_leisure,5,1
baf15155e37ef5492731459bdc05be8a,bed_bath_table,5,1
45ba18c210d42734ec52c0c1c574e9ee,construction_tools_construction,5,1
f9ec7093df3a7b346b7bcf7864069ca3,toys,5,1
db4350fd57ae30082dec7acbaacc17f9,sports_leisure,5,3
8603f0038fe0e52fedd3382d266723de,kitchen_dining_laundry_garden_furniture,5,1
5db42a6cd9bf1bf0d3aab9582767f168,housewares,5,1
11fb6f6d341adbe19e81733701704635,bed_bath_table,5,3
