Month,State,Average_order_Value_by_State_n_Month
2017-11-01 00:00:00 UTC,PA,194.4
2018-01-01 00:00:00 UTC,PE,193.7
2018-03-01 00:00:00 UTC,AL,193.4
2017-06-01 00:00:00 UTC,GO,193.3
2017-12-01 00:00:00 UTC,PA,192.6
2018-08-01 00:00:00 UTC,SC,192.4
2018-08-01 00:00:00 UTC,AL,191.8
2017-08-01 00:00:00 UTC,PA,191.7
2018-06-01 00:00:00 UTC,SC,191.3
2017-07-01 00:00:00 UTC,BA,191.1
2017-03-01 00:00:00 UTC,AP,191
2017-09-01 00:00:00 UTC,PI,190.4
2018-07-01 00:00:00 UTC,CE,190.4
2018-06-01 00:00:00 UTC,PE,190
2017-11-01 00:00:00 UTC,DF,190
2017-09-01 00:00:00 UTC,AC,190
2017-04-01 00:00:00 UTC,RJ,189.6
2018-03-01 00:00:00 UTC,TO,188.5
2017-09-01 00:00:00 UTC,MS,188.4
2018-05-01 00:00:00 UTC,PR,188
2018-08-01 00:00:00 UTC,MS,187.9
2018-01-01 00:00:00 UTC,MA,187.8
2018-05-01 00:00:00 UTC,MA,187
2017-08-01 00:00:00 UTC,CE,186.8
2018-07-01 00:00:00 UTC,MA,186.4
2017-03-01 00:00:00 UTC,GO,185.9
2017-11-01 00:00:00 UTC,RS,185.6
2017-03-01 00:00:00 UTC,RO,184.9
2018-08-01 00:00:00 UTC,GO,184.7
2018-05-01 00:00:00 UTC,CE,184.6
2018-03-01 00:00:00 UTC,PE,184.6
2017-06-01 00:00:00 UTC,CE,184.3
2018-05-01 00:00:00 UTC,GO,184.2
2018-08-01 00:00:00 UTC,MA,184
2017-10-01 00:00:00 UTC,RN,183.8
2018-02-01 00:00:00 UTC,RN,183.8
2017-05-01 00:00:00 UTC,GO,183.5
2018-06-01 00:00:00 UTC,SE,183.4
2017-09-01 00:00:00 UTC,BA,183.2
2017-04-01 00:00:00 UTC,BA,183.1
2018-02-01 00:00:00 UTC,CE,182.8
2017-11-01 00:00:00 UTC,PI,182.4
2018-06-01 00:00:00 UTC,AP,182.3
2018-08-01 00:00:00 UTC,MT,181
2017-12-01 00:00:00 UTC,RN,180.9
2017-09-01 00:00:00 UTC,SC,180.7
2017-11-01 00:00:00 UTC,MS,180.6
2018-07-01 00:00:00 UTC,BA,180.6
2017-08-01 00:00:00 UTC,PI,180.4
2017-07-01 00:00:00 UTC,PE,180.3
2018-03-01 00:00:00 UTC,MA,180.3
2017-04-01 00:00:00 UTC,RO,180
2017-10-01 00:00:00 UTC,RJ,179.6
2018-04-01 00:00:00 UTC,PR,179.5
2017-10-01 00:00:00 UTC,AL,178.6
2018-07-01 00:00:00 UTC,AC,178.4
2018-04-01 00:00:00 UTC,SC,178.3
2017-02-01 00:00:00 UTC,MT,178
2017-04-01 00:00:00 UTC,RN,177.9
2017-09-01 00:00:00 UTC,PE,177.2
2017-02-01 00:00:00 UTC,PE,177
2018-07-01 00:00:00 UTC,MS,177
2018-02-01 00:00:00 UTC,BA,176.8
2016-10-01 00:00:00 UTC,SE,176.8
2017-01-01 00:00:00 UTC,MG,176.3
2017-09-01 00:00:00 UTC,PB,176.1
2017-05-01 00:00:00 UTC,PR,175.7
2018-04-01 00:00:00 UTC,MT,175.6
2017-05-01 00:00:00 UTC,PB,175.4
2017-03-01 00:00:00 UTC,PE,175.2
2018-08-01 00:00:00 UTC,BA,175.2
2018-09-01 00:00:00 UTC,PA,175.1
2018-05-01 00:00:00 UTC,AP,174.8
2018-06-01 00:00:00 UTC,DF,174.4
2017-10-01 00:00:00 UTC,PR,174.2
2017-03-01 00:00:00 UTC,SC,173.8
2018-06-01 00:00:00 UTC,MG,173.8
2018-06-01 00:00:00 UTC,RS,173.2
2017-04-01 00:00:00 UTC,GO,172.4
2018-04-01 00:00:00 UTC,MG,172.4
2017-09-01 00:00:00 UTC,ES,172.4
2018-02-01 00:00:00 UTC,MA,172.3
2018-03-01 00:00:00 UTC,BA,171.4
2018-03-01 00:00:00 UTC,CE,171.4
2017-07-01 00:00:00 UTC,AC,170.4
2017-10-01 00:00:00 UTC,PI,169.4
2017-11-01 00:00:00 UTC,GO,168.9
2017-05-01 00:00:00 UTC,PA,168.2
2018-07-01 00:00:00 UTC,DF,168.1
2017-03-01 00:00:00 UTC,RS,167.7
2017-09-01 00:00:00 UTC,GO,167.4
2017-02-01 00:00:00 UTC,PR,167.4
2017-11-01 00:00:00 UTC,RJ,167.3
2017-04-01 00:00:00 UTC,SC,167.3
2017-10-01 00:00:00 UTC,SC,167.2
2017-06-01 00:00:00 UTC,PE,167.2
2018-05-01 00:00:00 UTC,RJ,167
2018-07-01 00:00:00 UTC,SC,167
2017-03-01 00:00:00 UTC,PB,166.8
2017-04-01 00:00:00 UTC,AL,166.6
2018-01-01 00:00:00 UTC,AM,166.1
2018-08-01 00:00:00 UTC,TO,166
2017-06-01 00:00:00 UTC,RJ,165.9
